lowAlpha_values,highAlpha_values,lowBeta_values,highBeta_values,lowGamma_values,highGamma_values,delta_values,theta_values,attention_values,meditation_values
44264.0,30825.0,10873.0,20567.0,17157.0,152721.0,20003.0,12813.0,0.0,0.0
81047.0,47573.0,7551.0,43330.0,29837.0,66665.0,43632.0,22489.0,0.0,0.0
38687.0,30525.0,16190.0,26242.0,13384.0,108013.0,34867.0,24366.0,0.0,0.0
300754.0,70001.0,72883.0,256005.0,35208.0,192479.0,444535.0,26058.0,0.0,0.0
132812.0,13651.0,7831.0,15819.0,18892.0,67373.0,49141.0,16393.0,0.0,0.0
81368.0,70848.0,71975.0,678518.0,49096.0,256859.0,382335.0,27360.0,0.0,0.0
105859.0,67590.0,76318.0,310164.0,48465.0,150088.0,665477.0,72250.0,0.0,0.0
20930.0,10322.0,30778.0,1058853.0,9104.0,11518.0,35801.0,7015.0,0.0,0.0
17818.0,6828.0,35458.0,345733.0,20166.0,26007.0,27966.0,3150.0,0.0,0.0
