lowAlpha_values,highAlpha_values,lowBeta_values,highBeta_values,lowGamma_values,highGamma_values,delta_values,theta_values,attention_values,meditation_values
34892.0,8609.0,15358.0,315941.0,18594.0,32362.0,46956.0,44620.0,0.0,0.0
17943.0,12290.0,10519.0,170496.0,6102.0,83203.0,73317.0,1618.0,0.0,0.0
19880.0,7010.0,2266.0,26842.0,3480.0,63087.0,70473.0,8267.0,0.0,0.0
27515.0,18932.0,5015.0,289196.0,22453.0,14837.0,95478.0,12794.0,0.0,0.0
15864.0,18335.0,6488.0,225101.0,21336.0,56991.0,51014.0,22307.0,0.0,0.0
23798.0,7854.0,2101.0,525111.0,15644.0,29545.0,100599.0,5307.0,0.0,0.0
15206.0,21279.0,6493.0,232611.0,12211.0,17704.0,43495.0,12257.0,0.0,0.0
3677.0,3945.0,1313.0,47832.0,7579.0,3039.0,30261.0,5785.0,0.0,0.0
86010.0,34504.0,78576.0,591385.0,52523.0,62633.0,175585.0,48120.0,0.0,0.0
15431.0,23486.0,1657.0,257369.0,15583.0,43183.0,53996.0,21781.0,0.0,0.0
3506.0,6236.0,1251.0,26179.0,4572.0,7763.0,6647.0,2181.0,0.0,0.0
119450.0,67793.0,41973.0,2511325.0,51519.0,166830.0,151094.0,10510.0,0.0,0.0
384042.0,194584.0,78732.0,1878802.0,102815.0,588923.0,291804.0,223036.0,0.0,0.0
402513.0,37724.0,118561.0,518711.0,91730.0,72835.0,39836.0,18632.0,0.0,0.0
477037.0,63117.0,22764.0,277145.0,106056.0,267455.0,132524.0,44943.0,0.0,0.0
126801.0,26992.0,35148.0,947728.0,26768.0,253582.0,126028.0,68408.0,0.0,0.0
116667.0,53649.0,11739.0,671901.0,16126.0,104985.0,91311.0,52867.0,0.0,0.0
62269.0,22369.0,54898.0,147162.0,12084.0,47567.0,31058.0,5392.0,0.0,0.0
36790.0,11245.0,11653.0,73543.0,7068.0,36391.0,111405.0,5425.0,0.0,0.0
89638.0,102148.0,32869.0,1062995.0,14216.0,142825.0,115935.0,5990.0,0.0,0.0
297775.0,39701.0,29748.0,988010.0,38142.0,228261.0,142485.0,32600.0,0.0,0.0
185816.0,65965.0,18916.0,1624266.0,31649.0,368377.0,95935.0,33104.0,0.0,0.0
45193.0,15409.0,10869.0,53168.0,15234.0,126480.0,135444.0,14564.0,0.0,0.0
189836.0,100250.0,16322.0,975827.0,42608.0,287097.0,201970.0,10904.0,0.0,0.0
26217.0,14951.0,17335.0,42030.0,22405.0,146660.0,69780.0,17093.0,0.0,0.0
208598.0,58723.0,17654.0,1089785.0,120589.0,445304.0,96028.0,16255.0,0.0,0.0
41689.0,27481.0,3369.0,31151.0,23166.0,208499.0,36470.0,9289.0,0.0,0.0
192600.0,72156.0,107445.0,649345.0,48381.0,216576.0,255164.0,12311.0,0.0,0.0
35152.0,21251.0,20974.0,38744.0,13000.0,122507.0,111190.0,10328.0,0.0,0.0
